"op","ctrl","mass","form","mod","rad","ref","thk"
"large sample","D",179,"alpha","h2o",3.175,"h2o",0.635
"small sample","A",12,"alpha","h2o",10.16,"h2o",0.635
"metallurgy","A",48,"alpha","h2o",9.525,"h2o",0.635
"small sample","A",44,"alpha","h2o",8.255,"h2o",0.635
"large sample","A",26,"alpha","h2o",6.35,"h2o",1.905
"small sample","A",5,"alpha","h2o",5.08,"h2o",0.635
"small sample","A",32,"alpha","h2o",8.255,"h2o",0.635
"large sample","A",26,"alpha","h2o",13.97,"h2o",1.905
"large sample","D",206,"alpha","h2o",5.08,"h2o",0.635
"large sample","D",76,"alpha","h2o",4.445,"h2o",0.635
"solution","A",2,"alpha","h2o",5.715,"h2o",1.27
"large sample","A",42,"alpha","h2o",8.89,"h2o",1.27
"small sample","A",52,"alpha","h2o",10.795,"h2o",0.635
"large sample","A",38,"alpha","h2o",4.445,"h2o",1.27
"small sample","A",33,"alpha","h2o",3.81,"h2o",0.635
"metallurgy","E",32,"alpha","h2o",1.27,"h2o",0.635
"large sample","A",26,"alpha","h2o",5.08,"h2o",1.905
"metallurgy","A",13,"alpha","h2o",8.255,"h2o",1.27
"machining","M",39,"alpha","h2o",1.905,"h2o",0.635
"machining","M",6,"alpha","h2o",4.445,"h2o",0.635
"small sample","A",37,"alpha","h2o",12.065,"h2o",1.27
"metallurgy","E",52,"alpha","h2o",2.54,"h2o",0.635
"small sample","A",3,"alpha","h2o",15.24,"h2o",1.27
"large sample","M",35,"alpha","h2o",5.08,"h2o",1.27
"small sample","A",37,"alpha","h2o",9.525,"h2o",0.635
"solution","A",4,"alpha","h2o",8.89,"h2o",1.27
"large sample","A",8,"alpha","h2o",4.445,"h2o",1.905
"large sample","C",42,"alpha","h2o",1.905,"h2o",0.635
"small sample","A",12,"alpha","h2o",3.81,"h2o",1.27
"metallurgy","A",44,"alpha","h2o",3.81,"h2o",2.54
"metallurgy","A",6,"alpha","h2o",1.27,"h2o",3.175
"large sample","A",35,"alpha","h2o",6.35,"h2o",1.27
"machining","M",15,"alpha","h2o",3.175,"h2o",0.635
"large sample","A",65,"alpha","h2o",6.985,"h2o",0.635
"small sample","A",65,"alpha","h2o",9.525,"h2o",1.27
"large sample","A",13,"alpha","h2o",7.62,"h2o",0.635
"metallurgy","E",56,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",39,"alpha","h2o",6.35,"h2o",1.27
"small sample","B",75,"alpha","h2o",6.35,"h2o",3.175
"small sample","A",18,"alpha","h2o",3.81,"h2o",0.635
"waste","P",44,"alpha","h2o",14.605,"h2o",0.635
"solution","A",11,"alpha","h2o",8.255,"h2o",0.635
"large sample","A",22,"alpha","h2o",3.175,"h2o",1.27
"large sample","A",15,"alpha","h2o",15.875,"h2o",0.635
"waste","P",48,"alpha","h2o",10.795,"h2o",0.635
"large sample","A",65,"alpha","h2o",10.795,"h2o",1.905
"machining","M",5,"alpha","h2o",3.175,"h2o",0.635
"waste","P",97,"alpha","h2o",3.81,"h2o",1.27
"large sample","D",24,"alpha","h2o",1.27,"h2o",0.635
"large sample","E",45,"alpha","h2o",0.635,"h2o",0.635
"metallurgy","A",64,"alpha","h2o",17.145,"h2o",1.905
"machining","M",32,"alpha","h2o",3.175,"h2o",0.635
"small sample","A",30,"alpha","h2o",22.225,"h2o",0.635
"large sample","B",44,"alpha","h2o",3.81,"h2o",0.635
"solution","A",25,"alpha","h2o",8.89,"h2o",2.54
"large sample","A",20,"alpha","h2o",5.715,"h2o",0.635
"solution","A",21,"alpha","h2o",1.27,"h2o",0.635
"large sample","A",41,"alpha","h2o",3.175,"h2o",1.27
"small sample","A",33,"alpha","h2o",8.89,"h2o",1.905
"small sample","A",65,"alpha","h2o",13.335,"h2o",1.27
"large sample","E",7,"alpha","h2o",0.635,"h2o",0.635
"metallurgy","A",57,"alpha","h2o",6.35,"h2o",0.635
"machining","M",11,"alpha","h2o",6.35,"h2o",0.635
"large sample","A",35,"alpha","h2o",16.51,"h2o",0.635
"small sample","A",16,"alpha","h2o",7.62,"h2o",1.27
"large sample","A",58,"alpha","h2o",18.415,"h2o",0.635
"large sample","A",46,"alpha","h2o",12.7,"h2o",1.27
"machining","M",32,"alpha","h2o",10.795,"h2o",0.635
"metallurgy","A",15,"alpha","h2o",5.08,"h2o",2.54
"large sample","E",86,"alpha","h2o",1.905,"h2o",0.635
"large sample","E",31,"alpha","h2o",0.635,"h2o",0.635
"small sample","A",22,"alpha","h2o",20.32,"h2o",1.27
"small sample","A",51,"alpha","h2o",3.175,"h2o",0.635
"machining","M",31,"alpha","h2o",14.605,"h2o",0.635
"metallurgy","A",39,"alpha","h2o",12.7,"h2o",0.635
"small sample","A",2,"alpha","h2o",3.81,"h2o",1.27
"metallurgy","A",5,"alpha","h2o",15.24,"h2o",1.27
"solution","A",2,"alpha","h2o",5.715,"h2o",1.905
"small sample","A",26,"alpha","h2o",10.16,"h2o",1.27
"large sample","E",28,"alpha","h2o",1.27,"h2o",0.635
"small sample","B",147,"alpha","h2o",12.065,"h2o",1.27
"machining","M",36,"alpha","h2o",7.62,"h2o",0.635
"machining","M",4,"alpha","h2o",12.7,"h2o",0.635
"large sample","A",41,"alpha","h2o",6.985,"h2o",1.27
"large sample","M",30,"alpha","h2o",26.035,"h2o",0.635
"solution","A",15,"alpha","h2o",17.78,"h2o",2.54
"machining","M",60,"alpha","h2o",7.62,"h2o",0.635
"small sample","A",23,"alpha","h2o",9.525,"h2o",1.27
"machining","M",21,"alpha","h2o",26.035,"h2o",0.635
"large sample","A",54,"alpha","h2o",3.81,"h2o",3.81
"waste","P",155,"alpha","h2o",18.415,"h2o",1.27
"small sample","A",17,"alpha","h2o",2.54,"h2o",1.27
"metallurgy","A",10,"alpha","h2o",10.795,"h2o",0.635
"small sample","A",46,"alpha","h2o",15.24,"h2o",1.27
"large sample","A",20,"alpha","h2o",6.985,"h2o",4.445
"machining","M",28,"alpha","h2o",6.985,"h2o",0.635
"metallurgy","E",22,"alpha","h2o",0.635,"h2o",0.635
"small sample","A",65,"alpha","h2o",8.89,"h2o",0.635
"large sample","A",33,"alpha","h2o",8.89,"h2o",0.635
"metallurgy","E",112,"alpha","h2o",1.905,"h2o",0.635
"small sample","B",32,"alpha","h2o",3.175,"h2o",1.905
"large sample","A",25,"alpha","h2o",16.51,"h2o",3.175
"machining","M",32,"alpha","h2o",19.685,"h2o",0.635
"machining","M",32,"alpha","h2o",7.62,"h2o",0.635
"metallurgy","A",16,"alpha","h2o",13.335,"h2o",1.905
"small sample","A",58,"alpha","h2o",2.54,"h2o",1.27
"small sample","A",65,"alpha","h2o",9.525,"h2o",1.905
"metallurgy","B",32,"alpha","h2o",1.905,"h2o",1.905
"metallurgy","A",8,"alpha","h2o",20.955,"h2o",0.635
"machining","M",53,"alpha","h2o",2.54,"h2o",0.635
"solution","A",14,"alpha","h2o",2.54,"h2o",0.635
"solution","A",16,"alpha","h2o",14.605,"h2o",1.27
"machining","M",73,"alpha","h2o",6.985,"h2o",0.635
"small sample","A",13,"alpha","h2o",12.7,"h2o",0.635
"machining","M",56,"alpha","h2o",4.445,"h2o",1.27
"large sample","A",40,"alpha","h2o",18.415,"h2o",2.54
"large sample","E",102,"alpha","h2o",1.27,"h2o",0.635
"large sample","B",7,"alpha","h2o",3.81,"h2o",0.635
"solution","A",18,"alpha","h2o",33.02,"h2o",0.635
"small sample","A",12,"alpha","h2o",7.62,"h2o",1.905
"small sample","A",3,"alpha","h2o",13.97,"h2o",2.54
"small sample","A",56,"alpha","h2o",3.175,"h2o",0.635
"large sample","A",40,"alpha","h2o",2.54,"h2o",0.635
"small sample","A",65,"alpha","h2o",5.715,"h2o",1.27
"large sample","B",36,"alpha","h2o",0.635,"h2o",0.635
"large sample","B",1,"alpha","h2o",8.255,"h2o",1.905
"metallurgy","A",65,"alpha","h2o",3.81,"h2o",1.27
"small sample","A",52,"alpha","h2o",6.985,"h2o",0.635
"small sample","A",40,"alpha","h2o",1.27,"h2o",3.175
"waste","A",11,"alpha","h2o",17.145,"h2o",0.635
"large sample","A",12,"alpha","h2o",3.81,"h2o",1.27
"small sample","A",2,"alpha","h2o",9.525,"h2o",0.635
"machining","M",65,"alpha","h2o",0.635,"h2o",0.635
"solution","A",1,"alpha","h2o",13.335,"h2o",0.635
"small sample","A",56,"alpha","h2o",8.89,"h2o",1.27
"large sample","A",28,"alpha","h2o",24.765,"h2o",0.635
"small sample","A",24,"alpha","h2o",9.525,"h2o",1.27
"large sample","A",23,"alpha","h2o",10.16,"h2o",1.905
"solution","A",25,"alpha","h2o",9.525,"h2o",0.635
"large sample","A",19,"alpha","h2o",3.175,"h2o",1.27
"large sample","A",61,"alpha","h2o",31.75,"h2o",3.175
"metallurgy","A",15,"alpha","h2o",13.97,"h2o",0.635
"waste","A",65,"alpha","h2o",10.16,"h2o",1.27
"large sample","A",15,"alpha","h2o",12.065,"h2o",1.905
"solution","A",16,"alpha","h2o",6.985,"h2o",5.715
"large sample","A",61,"alpha","h2o",21.59,"h2o",1.27
"waste","P",43,"alpha","h2o",23.495,"h2o",0.635
"large sample","D",30,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",9,"alpha","h2o",9.525,"h2o",1.905
"metallurgy","E",37,"alpha","h2o",3.175,"h2o",0.635
"small sample","A",8,"alpha","h2o",2.54,"h2o",1.27
"large sample","A",7,"alpha","h2o",11.43,"h2o",1.27
"large sample","A",11,"alpha","h2o",15.875,"h2o",0.635
"metallurgy","A",38,"alpha","h2o",12.065,"h2o",0.635
"solution","A",29,"alpha","h2o",15.24,"h2o",0.635
"small sample","A",6,"alpha","h2o",17.78,"h2o",1.905
"waste","A",29,"alpha","h2o",3.81,"h2o",1.27
"large sample","M",104,"alpha","h2o",2.54,"h2o",0.635
"large sample","A",18,"alpha","h2o",15.875,"h2o",1.905
"large sample","A",14,"alpha","h2o",10.795,"h2o",1.905
"large sample","A",2,"alpha","h2o",10.16,"h2o",0.635
"large sample","A",30,"alpha","h2o",15.24,"h2o",0.635
"large sample","M",73,"alpha","h2o",6.985,"h2o",0.635
"metallurgy","B",73,"alpha","h2o",6.35,"h2o",1.905
"large sample","C",170,"alpha","h2o",6.35,"h2o",0.635
"machining","M",20,"alpha","h2o",13.335,"h2o",0.635
"small sample","A",33,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",6,"alpha","h2o",1.27,"h2o",2.54
"small sample","A",41,"alpha","h2o",5.08,"h2o",0.635
"large sample","M",73,"alpha","h2o",5.08,"h2o",0.635
"large sample","A",25,"alpha","h2o",3.81,"h2o",0.635
"large sample","A",19,"alpha","h2o",23.495,"h2o",0.635
"small sample","A",8,"alpha","h2o",1.905,"h2o",2.54
"machining","A",29,"alpha","h2o",15.24,"h2o",1.27
"small sample","A",8,"alpha","h2o",9.525,"h2o",0.635
"machining","M",15,"alpha","h2o",1.27,"h2o",0.635
"solution","A",11,"alpha","h2o",17.145,"h2o",1.27
"metallurgy","A",43,"alpha","h2o",14.605,"h2o",1.905
"small sample","A",17,"alpha","h2o",3.175,"h2o",2.54
"small sample","A",31,"alpha","h2o",7.62,"h2o",1.27
"solution","A",9,"alpha","h2o",7.62,"h2o",2.54
"small sample","A",33,"alpha","h2o",6.35,"h2o",1.27
"large sample","A",24,"alpha","h2o",6.35,"h2o",1.27
"large sample","D",55,"alpha","h2o",3.175,"h2o",0.635
"machining","M",86,"alpha","h2o",15.875,"h2o",0.635
"metallurgy","A",16,"alpha","h2o",20.32,"h2o",3.175
"metallurgy","A",37,"alpha","h2o",3.175,"h2o",0.635
"large sample","A",16,"alpha","h2o",0.635,"h2o",0.635
"small sample","A",22,"alpha","h2o",5.08,"h2o",1.27
"machining","A",11,"alpha","h2o",3.175,"h2o",0.635
"metallurgy","E",58,"alpha","h2o",2.54,"h2o",0.635
"small sample","A",13,"alpha","h2o",19.685,"h2o",0.635
"metallurgy","B",8,"alpha","h2o",2.54,"h2o",1.27
"small sample","A",37,"alpha","h2o",4.445,"h2o",1.27
"metallurgy","B",112,"alpha","h2o",5.715,"h2o",1.27
"machining","M",31,"alpha","h2o",17.145,"h2o",0.635
"large sample","D",23,"alpha","h2o",6.35,"h2o",0.635
"large sample","A",13,"alpha","h2o",0.635,"h2o",0.635
"small sample","A",42,"alpha","h2o",10.16,"h2o",0.635
"metallurgy","A",12,"alpha","h2o",7.62,"h2o",1.27
"small sample","A",28,"alpha","h2o",20.955,"h2o",0.635
"waste","P",32,"alpha","h2o",8.255,"h2o",1.905
"small sample","A",35,"alpha","h2o",8.255,"h2o",1.905
"small sample","A",65,"alpha","h2o",7.62,"h2o",1.905
"small sample","A",6,"alpha","h2o",8.255,"h2o",1.905
"small sample","A",29,"alpha","h2o",13.335,"h2o",1.27
"large sample","E",67,"alpha","h2o",3.175,"h2o",0.635
"waste","A",34,"alpha","h2o",6.985,"h2o",3.81
"small sample","A",26,"alpha","h2o",3.175,"h2o",1.27
"small sample","A",9,"alpha","h2o",6.985,"h2o",3.175
"small sample","A",2,"alpha","h2o",3.81,"h2o",1.27
"waste","P",124,"alpha","h2o",3.81,"h2o",0.635
"small sample","A",27,"alpha","h2o",4.445,"h2o",0.635
"small sample","A",65,"alpha","h2o",20.32,"h2o",0.635
"small sample","A",13,"alpha","h2o",7.62,"h2o",1.905
"small sample","A",65,"alpha","h2o",12.7,"h2o",3.175
"large sample","E",80,"alpha","h2o",2.54,"h2o",0.635
"large sample","A",41,"alpha","h2o",10.795,"h2o",1.905
"small sample","A",42,"alpha","h2o",1.905,"h2o",0.635
"metallurgy","B",22,"alpha","h2o",9.525,"h2o",0.635
"small sample","A",6,"alpha","h2o",0.635,"h2o",1.27
"large sample","D",47,"alpha","h2o",2.54,"h2o",0.635
"large sample","E",269,"alpha","h2o",2.54,"h2o",0.635
"machining","M",5,"alpha","h2o",19.05,"h2o",0.635
"metallurgy","A",28,"alpha","h2o",10.16,"h2o",2.54
"waste","A",63,"alpha","h2o",9.525,"h2o",1.905
"small sample","A",65,"alpha","h2o",19.05,"h2o",1.905
"small sample","A",9,"alpha","h2o",8.89,"h2o",1.27
"metallurgy","A",49,"alpha","h2o",6.985,"h2o",0.635
"solution","A",7,"alpha","h2o",6.35,"h2o",1.905
"large sample","A",2,"alpha","h2o",11.43,"h2o",0.635
"metallurgy","A",30,"alpha","h2o",5.08,"h2o",3.175
"small sample","A",7,"alpha","h2o",1.27,"h2o",0.635
"solution","A",15,"alpha","h2o",5.715,"h2o",0.635
"machining","M",49,"alpha","h2o",8.89,"h2o",0.635
"large sample","D",13,"alpha","h2o",5.715,"h2o",1.27
"small sample","A",11,"alpha","h2o",9.525,"h2o",3.81
"large sample","M",19,"alpha","h2o",17.145,"h2o",0.635
"large sample","A",30,"alpha","h2o",5.715,"h2o",1.905
"large sample","D",40,"alpha","h2o",6.985,"h2o",0.635
"small sample","A",18,"alpha","h2o",3.175,"h2o",0.635
"small sample","A",44,"alpha","h2o",15.24,"h2o",0.635
"metallurgy","E",64,"alpha","h2o",5.08,"h2o",0.635
"solution","A",39,"alpha","h2o",7.62,"h2o",3.175
"metallurgy","A",40,"alpha","h2o",12.7,"h2o",0.635
"small sample","A",25,"alpha","h2o",15.875,"h2o",1.27
"machining","M",29,"alpha","h2o",25.4,"h2o",0.635
"solution","A",13,"alpha","h2o",1.27,"h2o",1.905
"machining","M",13,"alpha","h2o",11.43,"h2o",0.635
"large sample","A",37,"alpha","h2o",9.525,"h2o",0.635
"large sample","A",24,"alpha","h2o",3.175,"h2o",1.905
"metallurgy","A",24,"alpha","h2o",19.05,"h2o",0.635
"solution","A",10,"alpha","h2o",13.97,"h2o",1.27
"solution","A",11,"alpha","h2o",5.08,"h2o",0.635
"large sample","A",25,"alpha","h2o",6.985,"h2o",0.635
"large sample","A",44,"alpha","h2o",14.605,"h2o",1.27
"large sample","E",163,"alpha","h2o",1.27,"h2o",0.635
"metallurgy","A",40,"alpha","h2o",15.875,"h2o",4.445
"large sample","A",49,"alpha","h2o",15.875,"h2o",1.27
"large sample","A",57,"alpha","h2o",8.89,"h2o",2.54
"small sample","A",9,"alpha","h2o",10.16,"h2o",2.54
"metallurgy","A",11,"alpha","h2o",5.08,"h2o",1.905
"large sample","M",136,"alpha","h2o",1.905,"h2o",0.635
"small sample","A",45,"alpha","h2o",5.08,"h2o",3.81
"small sample","A",4,"alpha","h2o",4.445,"h2o",0.635
"large sample","D",32,"alpha","h2o",4.445,"h2o",0.635
"solution","A",5,"alpha","h2o",11.43,"h2o",0.635
"machining","M",65,"alpha","h2o",4.445,"h2o",0.635
"small sample","A",57,"alpha","h2o",12.065,"h2o",3.81
"solution","A",18,"alpha","h2o",15.875,"h2o",1.905
"solution","A",24,"alpha","h2o",3.81,"h2o",0.635
"metallurgy","E",131,"alpha","h2o",2.54,"h2o",1.27
"small sample","A",20,"alpha","h2o",3.81,"h2o",2.54
"large sample","A",12,"alpha","h2o",5.08,"h2o",0.635
"large sample","A",24,"alpha","h2o",4.445,"h2o",1.27
"machining","M",74,"alpha","h2o",3.81,"h2o",0.635
"solution","A",10,"alpha","h2o",3.175,"h2o",1.27
"large sample","M",172,"alpha","h2o",10.795,"h2o",0.635
"large sample","D",73,"alpha","h2o",1.27,"h2o",0.635
"large sample","A",65,"alpha","h2o",6.35,"h2o",0.635
"small sample","A",11,"alpha","h2o",2.54,"h2o",1.27
"small sample","A",19,"alpha","h2o",14.605,"h2o",1.27
"small sample","A",23,"alpha","h2o",26.035,"h2o",0.635
"large sample","A",34,"alpha","h2o",2.54,"h2o",0.635
"waste","A",43,"alpha","h2o",5.08,"h2o",1.905
"large sample","D",55,"alpha","h2o",1.905,"h2o",0.635
"large sample","M",168,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",26,"alpha","h2o",7.62,"h2o",0.635
"large sample","A",20,"alpha","h2o",2.54,"h2o",1.905
"small sample","A",62,"alpha","h2o",16.51,"h2o",0.635
"small sample","B",61,"alpha","h2o",5.715,"h2o",0.635
"small sample","A",15,"alpha","h2o",4.445,"h2o",3.175
"solution","A",27,"alpha","h2o",11.43,"h2o",2.54
"solution","A",34,"alpha","h2o",1.27,"h2o",1.27
"small sample","A",56,"alpha","h2o",20.955,"h2o",0.635
"solution","A",12,"alpha","h2o",9.525,"h2o",6.985
"small sample","A",22,"alpha","h2o",7.62,"h2o",0.635
"small sample","A",52,"alpha","h2o",3.81,"h2o",2.54
"large sample","M",101,"alpha","h2o",3.175,"h2o",0.635
"solution","A",18,"alpha","h2o",5.08,"h2o",0.635
"small sample","A",47,"alpha","h2o",3.81,"h2o",1.905
"large sample","A",33,"alpha","h2o",5.08,"h2o",1.27
"large sample","M",7,"alpha","h2o",3.81,"h2o",1.27
"solution","A",5,"alpha","h2o",7.62,"h2o",1.905
"large sample","A",14,"alpha","h2o",10.795,"h2o",1.905
"small sample","A",5,"alpha","h2o",17.145,"h2o",3.81
"metallurgy","E",37,"alpha","h2o",0.635,"h2o",0.635
"small sample","A",2,"alpha","h2o",5.08,"h2o",0.635
"metallurgy","A",15,"alpha","h2o",12.7,"h2o",2.54
"small sample","A",15,"alpha","h2o",6.35,"h2o",3.175
"waste","A",62,"alpha","h2o",17.145,"h2o",0.635
"metallurgy","A",27,"alpha","h2o",19.05,"h2o",2.54
"large sample","A",47,"alpha","h2o",12.065,"h2o",0.635
"large sample","M",24,"alpha","h2o",3.81,"h2o",0.635
"large sample","A",50,"alpha","h2o",14.605,"h2o",0.635
"small sample","A",9,"alpha","h2o",13.97,"h2o",0.635
"small sample","A",42,"alpha","h2o",6.985,"h2o",1.27
"large sample","A",44,"alpha","h2o",16.51,"h2o",3.175
"metallurgy","B",62,"alpha","h2o",1.905,"h2o",0.635
"small sample","A",54,"alpha","h2o",3.175,"h2o",0.635
"large sample","A",24,"alpha","h2o",9.525,"h2o",1.905
"metallurgy","E",16,"alpha","h2o",0.635,"h2o",0.635
"large sample","D",20,"alpha","h2o",0.635,"h2o",0.635
"large sample","A",28,"alpha","h2o",15.24,"h2o",0.635
"large sample","A",25,"alpha","h2o",5.08,"h2o",1.27
"small sample","A",39,"alpha","h2o",10.16,"h2o",1.27
"metallurgy","B",83,"alpha","h2o",2.54,"h2o",1.27
"large sample","M",190,"alpha","h2o",10.16,"h2o",0.635
"large sample","A",64,"alpha","h2o",4.445,"h2o",1.905
"small sample","A",15,"alpha","h2o",7.62,"h2o",0.635
"small sample","A",1,"alpha","h2o",12.065,"h2o",0.635
"large sample","C",89,"alpha","h2o",8.89,"h2o",0.635
"large sample","A",29,"alpha","h2o",30.48,"h2o",1.905
"large sample","A",4,"alpha","h2o",20.955,"h2o",1.905
"large sample","D",50,"alpha","h2o",1.905,"h2o",1.27
"large sample","D",55,"alpha","h2o",3.81,"h2o",0.635
"machining","A",65,"alpha","h2o",12.065,"h2o",1.27
"machining","M",31,"alpha","h2o",5.08,"h2o",0.635
"small sample","A",65,"alpha","h2o",34.29,"h2o",1.27
"small sample","A",35,"alpha","h2o",8.255,"h2o",1.27
"large sample","A",65,"alpha","h2o",11.43,"h2o",0.635
"large sample","A",15,"alpha","h2o",17.145,"h2o",0.635
"metallurgy","B",60,"alpha","h2o",5.715,"h2o",1.905
"large sample","A",51,"alpha","h2o",10.795,"h2o",1.27
"waste","A",34,"alpha","h2o",3.175,"h2o",1.27
"waste","P",56,"alpha","h2o",15.875,"h2o",1.905
"small sample","A",10,"alpha","h2o",6.35,"h2o",0.635
"large sample","A",21,"alpha","h2o",7.62,"h2o",1.905
"small sample","A",65,"alpha","h2o",2.54,"h2o",0.635
"waste","A",36,"alpha","h2o",12.7,"h2o",5.08
"machining","M",18,"alpha","h2o",10.795,"h2o",0.635
"waste","A",12,"alpha","h2o",12.065,"h2o",0.635
"large sample","D",92,"alpha","h2o",3.175,"h2o",0.635
"machining","M",67,"alpha","h2o",17.145,"h2o",0.635
"small sample","A",65,"alpha","h2o",4.445,"h2o",1.905
"large sample","A",13,"alpha","h2o",6.35,"h2o",2.54
"small sample","A",65,"alpha","h2o",5.715,"h2o",0.635
"solution","A",23,"alpha","h2o",19.05,"h2o",0.635
"small sample","A",44,"alpha","h2o",8.89,"h2o",0.635
"large sample","D",27,"alpha","h2o",3.175,"h2o",1.27
"solution","A",2,"alpha","h2o",15.875,"h2o",1.27
"solution","A",14,"alpha","h2o",18.415,"h2o",1.27
"small sample","A",25,"alpha","h2o",3.81,"h2o",0.635
"large sample","E",105,"alpha","h2o",1.905,"h2o",0.635
"metallurgy","E",133,"alpha","h2o",2.54,"h2o",0.635
"small sample","A",29,"alpha","h2o",12.065,"h2o",0.635
"small sample","A",19,"alpha","h2o",6.35,"h2o",3.175
"metallurgy","B",31,"alpha","h2o",16.51,"h2o",5.08
"solution","A",5,"alpha","h2o",13.335,"h2o",2.54
"small sample","A",15,"alpha","h2o",7.62,"h2o",0.635
"small sample","A",11,"alpha","h2o",18.415,"h2o",1.27
"small sample","A",61,"alpha","h2o",21.59,"h2o",2.54
"large sample","B",456,"alpha","h2o",12.065,"h2o",1.27
"metallurgy","A",65,"alpha","h2o",2.54,"h2o",0.635
"machining","M",53,"alpha","h2o",15.875,"h2o",1.27
"large sample","D",53,"alpha","h2o",0.635,"h2o",0.635
"large sample","E",155,"alpha","h2o",3.175,"h2o",0.635
"metallurgy","A",14,"alpha","h2o",13.335,"h2o",0.635
"small sample","A",37,"alpha","h2o",4.445,"h2o",0.635
"small sample","B",124,"alpha","h2o",6.985,"h2o",1.27
"large sample","A",26,"alpha","h2o",14.605,"h2o",1.905
"machining","A",49,"alpha","h2o",10.16,"h2o",0.635
"small sample","A",9,"alpha","h2o",2.54,"h2o",0.635
"large sample","D",15,"alpha","h2o",3.175,"h2o",0.635
"large sample","A",17,"alpha","h2o",3.175,"h2o",1.27
"small sample","A",40,"alpha","h2o",5.715,"h2o",0.635
"large sample","M",45,"alpha","h2o",5.715,"h2o",0.635
"large sample","A",8,"alpha","h2o",1.905,"h2o",1.27
"small sample","A",15,"alpha","h2o",12.065,"h2o",0.635
"large sample","E",59,"alpha","h2o",3.81,"h2o",0.635
"small sample","A",33,"alpha","h2o",11.43,"h2o",3.175
"small sample","A",65,"alpha","h2o",7.62,"h2o",0.635
"large sample","D",7,"alpha","h2o",0.635,"h2o",0.635
"small sample","A",13,"alpha","h2o",11.43,"h2o",0.635
"small sample","B",61,"alpha","h2o",5.08,"h2o",1.905
"waste","P",98,"alpha","h2o",1.27,"h2o",1.27
"large sample","B",14,"alpha","h2o",10.16,"h2o",1.27
"solution","A",36,"alpha","h2o",5.08,"h2o",0.635
"small sample","A",9,"alpha","h2o",2.54,"h2o",2.54
"waste","P",32,"alpha","h2o",12.7,"h2o",0.635
"large sample","A",17,"alpha","h2o",5.08,"h2o",0.635
"waste","A",27,"alpha","h2o",7.62,"h2o",0.635
"small sample","A",46,"alpha","h2o",23.495,"h2o",0.635
"small sample","A",58,"alpha","h2o",2.54,"h2o",2.54
"small sample","A",32,"alpha","h2o",15.875,"h2o",1.905
"large sample","D",278,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",65,"alpha","h2o",6.35,"h2o",0.635
"machining","M",50,"alpha","h2o",9.525,"h2o",0.635
"machining","M",18,"alpha","h2o",19.685,"h2o",0.635
"large sample","E",141,"alpha","h2o",2.54,"h2o",0.635
"large sample","A",61,"alpha","h2o",3.175,"h2o",0.635
"waste","P",61,"alpha","h2o",8.89,"h2o",1.27
"metallurgy","A",51,"alpha","h2o",6.35,"h2o",1.905
"small sample","A",40,"alpha","h2o",6.985,"h2o",3.175
"metallurgy","A",16,"alpha","h2o",14.605,"h2o",1.905
"small sample","A",58,"alpha","h2o",3.81,"h2o",3.175
"waste","P",78,"alpha","h2o",7.62,"h2o",1.27
