"op","ctrl","mass","form","mod","rad","ref","thk"
"metallurgy","E",52,"alpha","none",2.54,"ss304",0.635
"small sample","A",3,"alpha","none",15.24,"ch2",1.27
"large sample","M",35,"alpha","none",5.08,"mgo",1.27
"small sample","A",37,"alpha","none",9.525,"ch2",0.635
"solution","A",4,"alpha","ch2",8.89,"ch2",1.27
"large sample","A",8,"alpha","none",4.445,"ch2",1.905
"large sample","C",42,"alpha","ch2",1.905,"none",0.635
"small sample","A",12,"alpha","none",3.81,"ch2",1.27
"metallurgy","A",44,"alpha","none",3.81,"ch2",2.54
"metallurgy","A",6,"alpha","none",1.27,"ch2",3.175
"large sample","A",35,"alpha","ch2",6.35,"mgo",1.27
"machining","M",15,"alpha","none",3.175,"ch2",0.635
"large sample","A",65,"alpha","none",6.985,"mgo",0.635
"small sample","A",65,"alpha","none",9.525,"ch2",1.27
"large sample","A",13,"alpha","none",7.62,"ch2",0.635
"metallurgy","E",56,"alpha","none",1.27,"ss304",0.635
"small sample","A",39,"alpha","ch2",6.35,"ch2",1.27
"small sample","B",75,"alpha","none",6.35,"ch2",3.175
"small sample","A",18,"alpha","none",3.81,"ch2",0.635
"waste","P",44,"alpha","mgo",14.605,"be",0.635
"solution","A",11,"alpha","none",8.255,"ss304",0.635
"large sample","A",22,"alpha","none",3.175,"ch2",1.27
"large sample","A",15,"alpha","none",15.875,"ch2",0.635
"waste","P",48,"alpha","none",10.795,"ss304",0.635
"large sample","A",65,"alpha","ch2",10.795,"ch2",1.905
"machining","M",5,"alpha","none",3.175,"ss304",0.635
"waste","P",97,"alpha","none",3.81,"ch2",1.27
"large sample","D",24,"alpha","none",1.27,"mgo",0.635
"large sample","E",45,"alpha","none",0.635,"ss304",0.635
"metallurgy","A",64,"alpha","none",17.145,"mgo",1.905
"machining","M",32,"alpha","none",3.175,"ch2",0.635
"small sample","A",30,"alpha","none",22.225,"ch2",0.635
"large sample","B",44,"alpha","none",3.81,"mgo",0.635
"solution","A",25,"alpha","ch2",8.89,"du",2.54
"large sample","A",20,"alpha","none",5.715,"ss304",0.635
"solution","A",21,"alpha","none",1.27,"ch2",0.635
"large sample","A",41,"alpha","none",3.175,"ss304",1.27
"small sample","A",33,"alpha","ch2",8.89,"be",1.905
"small sample","A",65,"alpha","none",13.335,"mgo",1.27
"large sample","E",7,"alpha","none",0.635,"ss304",0.635
"metallurgy","A",57,"alpha","none",6.35,"mgo",0.635
"machining","M",11,"alpha","none",6.35,"ch2",0.635
"large sample","A",35,"alpha","none",16.51,"ss304",0.635
"small sample","A",16,"alpha","none",7.62,"du",1.27
"large sample","A",58,"alpha","none",18.415,"mgo",0.635
"large sample","A",46,"alpha","none",12.7,"du",1.27
"machining","M",32,"alpha","none",10.795,"ch2",0.635
"metallurgy","A",15,"alpha","none",5.08,"ch2",2.54
"large sample","E",86,"alpha","none",1.905,"ss304",0.635
"large sample","E",31,"alpha","none",0.635,"ch2",0.635
"small sample","A",22,"alpha","none",20.32,"ch2",1.27
"small sample","A",51,"alpha","none",3.175,"ch2",0.635
"machining","M",31,"alpha","none",14.605,"ch2",0.635
"metallurgy","A",39,"alpha","ch2",12.7,"ch2",0.635
"small sample","A",2,"alpha","none",3.81,"ch2",1.27
"metallurgy","A",5,"alpha","mgo",15.24,"mgo",1.27
"solution","A",2,"alpha","none",5.715,"ch2",1.905
"small sample","A",26,"alpha","none",10.16,"ch2",1.27
"large sample","E",28,"alpha","none",1.27,"ch2",0.635
"small sample","B",147,"alpha","none",12.065,"ch2",1.27
"machining","M",36,"alpha","none",7.62,"ss304",0.635
"machining","M",4,"alpha","none",12.7,"ss304",0.635
"large sample","A",41,"alpha","none",6.985,"mgo",1.27
"large sample","M",30,"alpha","none",26.035,"ch2",0.635
"solution","A",15,"alpha","ch2",17.78,"ss304",2.54
"machining","M",60,"alpha","none",7.62,"ch2",0.635
"small sample","A",23,"alpha","ch2",9.525,"ss304",1.27
"machining","M",21,"alpha","none",26.035,"mgo",0.635
"large sample","A",54,"alpha","ch2",3.81,"ch2",3.81
"waste","P",155,"alpha","none",18.415,"ch2",1.27
"small sample","A",17,"alpha","ch2",2.54,"ch2",1.27
"metallurgy","A",10,"alpha","mgo",10.795,"ss304",0.635
"small sample","A",46,"alpha","none",15.24,"ss304",1.27
"large sample","A",20,"alpha","ch2",6.985,"be",4.445
"machining","M",28,"alpha","none",6.985,"ch2",0.635
"metallurgy","E",22,"alpha","none",0.635,"al",0.635
"small sample","A",65,"alpha","ch2",8.89,"ch2",0.635
"large sample","A",33,"alpha","none",8.89,"ch2",0.635
"metallurgy","E",112,"alpha","none",1.905,"be",0.635
"small sample","B",32,"alpha","none",3.175,"mgo",1.905
"large sample","A",25,"alpha","none",16.51,"ch2",3.175
"machining","M",32,"alpha","none",19.685,"ss304",0.635
"machining","M",32,"alpha","none",7.62,"ch2",0.635
"metallurgy","A",16,"alpha","ch2",13.335,"mgo",1.905
"small sample","A",58,"alpha","ch2",2.54,"ch2",1.27
"small sample","A",65,"alpha","none",9.525,"ch2",1.905
"metallurgy","B",32,"alpha","none",1.905,"ss304",1.905
"metallurgy","A",8,"alpha","ch2",20.955,"ss304",0.635
"machining","M",53,"alpha","none",2.54,"ch2",0.635
"solution","A",14,"alpha","ch2",2.54,"ch2",0.635
"solution","A",16,"alpha","none",14.605,"ch2",1.27
"machining","M",73,"alpha","none",6.985,"ch2",0.635
"small sample","A",13,"alpha","none",12.7,"ch2",0.635
"machining","M",56,"alpha","none",4.445,"ch2",1.27
"large sample","A",40,"alpha","none",18.415,"ss304",2.54
"large sample","E",102,"alpha","none",1.27,"ch2",0.635
"large sample","B",7,"alpha","ch2",3.81,"ss304",0.635
"solution","A",18,"alpha","none",33.02,"ch2",0.635
"small sample","A",12,"alpha","none",7.62,"ch2",1.905
"small sample","A",3,"alpha","none",13.97,"ch2",2.54
"small sample","A",56,"alpha","ch2",3.175,"al",0.635
"large sample","A",40,"alpha","none",2.54,"mgo",0.635
"small sample","A",65,"alpha","none",5.715,"ch2",1.27
"large sample","B",36,"alpha","none",0.635,"ch2",0.635
"large sample","B",1,"alpha","none",8.255,"mgo",1.905
"metallurgy","A",65,"alpha","none",3.81,"ss304",1.27
"small sample","A",52,"alpha","none",6.985,"ch2",0.635
"small sample","A",40,"alpha","none",1.27,"ch2",3.175
"waste","A",11,"alpha","none",17.145,"mgo",0.635
"large sample","A",12,"alpha","none",3.81,"pb",1.27
"small sample","A",2,"alpha","none",9.525,"ch2",0.635
"machining","M",65,"alpha","none",0.635,"ch2",0.635
"solution","A",1,"alpha","ch2",13.335,"ch2",0.635
"small sample","A",56,"alpha","ch2",8.89,"ch2",1.27
"large sample","A",28,"alpha","none",24.765,"ss304",0.635
"small sample","A",24,"alpha","none",9.525,"ch2",1.27
"large sample","A",23,"alpha","none",10.16,"ch2",1.905
"solution","A",25,"alpha","none",9.525,"ch2",0.635
"large sample","A",19,"alpha","ch2",3.175,"ss304",1.27
"large sample","A",61,"alpha","none",31.75,"ss304",3.175
"metallurgy","A",15,"alpha","none",13.97,"ss304",0.635
"waste","A",65,"alpha","none",10.16,"ch2",1.27
"large sample","A",15,"alpha","ch2",12.065,"mgo",1.905
"solution","A",16,"alpha","none",6.985,"ch2",5.715
"large sample","A",61,"alpha","ch2",21.59,"ss304",1.27
"waste","P",43,"alpha","ch2",23.495,"ch2",0.635
"large sample","D",30,"alpha","none",1.27,"ch2",0.635
"small sample","A",9,"alpha","none",9.525,"ch2",1.905
"metallurgy","E",37,"alpha","none",3.175,"ss304",0.635
"small sample","A",8,"alpha","sepiolite",2.54,"ss304",1.27
"large sample","A",7,"alpha","ch2",11.43,"ch2",1.27
"large sample","A",11,"alpha","none",15.875,"be",0.635
"metallurgy","A",38,"alpha","none",12.065,"mgo",0.635
"solution","A",29,"alpha","none",15.24,"pb",0.635
"small sample","A",6,"alpha","none",17.78,"ch2",1.905
"waste","A",29,"alpha","none",3.81,"mgo",1.27
"large sample","M",104,"alpha","ch2",2.54,"ch2",0.635
"large sample","A",18,"alpha","mgo",15.875,"mgo",1.905
"large sample","A",14,"alpha","none",10.795,"ss304",1.905
"large sample","A",2,"alpha","none",10.16,"ss304",0.635
"large sample","A",30,"alpha","none",15.24,"ch2",0.635
"large sample","M",73,"alpha","none",6.985,"ch2",0.635
"metallurgy","B",73,"alpha","none",6.35,"mgo",1.905
"large sample","C",170,"alpha","none",6.35,"none",0.635
"machining","M",20,"alpha","none",13.335,"ss304",0.635
"small sample","A",33,"alpha","none",1.27,"ch2",0.635
"small sample","A",6,"alpha","ch2",1.27,"ss304",2.54
"small sample","A",41,"alpha","none",5.08,"ch2",0.635
"large sample","M",73,"alpha","none",5.08,"mgo",0.635
"large sample","A",25,"alpha","none",3.81,"pb",0.635
"large sample","A",19,"alpha","none",23.495,"mgo",0.635
"small sample","A",8,"alpha","none",1.905,"ss304",2.54
"machining","A",29,"alpha","none",15.24,"ch2",1.27
"small sample","A",8,"alpha","none",9.525,"ch2",0.635
"machining","M",15,"alpha","none",1.27,"ch2",0.635
"solution","A",11,"alpha","ch2",17.145,"ch2",1.27
"metallurgy","A",43,"alpha","none",14.605,"ch2",1.905
"small sample","A",17,"alpha","none",3.175,"ch2",2.54
"small sample","A",31,"alpha","none",7.62,"ss304",1.27
"solution","A",9,"alpha","none",7.62,"ch2",2.54
"small sample","A",33,"alpha","none",6.35,"ch2",1.27
"large sample","A",24,"alpha","none",6.35,"ch2",1.27
"large sample","D",55,"alpha","none",3.175,"mgo",0.635
"machining","M",86,"alpha","ch2",15.875,"ch2",0.635
"metallurgy","A",16,"alpha","none",20.32,"ss304",3.175
"metallurgy","A",37,"alpha","none",3.175,"mgo",0.635
"large sample","A",16,"alpha","none",0.635,"mgo",0.635
"small sample","A",22,"alpha","none",5.08,"ch2",1.27
"machining","A",11,"alpha","ch2",3.175,"ch2",0.635
"metallurgy","E",58,"alpha","none",2.54,"ss304",0.635
"small sample","A",13,"alpha","none",19.685,"du",0.635
"metallurgy","B",8,"alpha","mgo",2.54,"ss304",1.27
"small sample","A",37,"alpha","none",4.445,"ss304",1.27
"metallurgy","B",112,"alpha","none",5.715,"ss304",1.27
"machining","M",31,"alpha","ch2",17.145,"ch2",0.635
"large sample","D",23,"alpha","none",6.35,"ch2",0.635
"large sample","A",13,"alpha","none",0.635,"ch2",0.635
"small sample","A",42,"alpha","none",10.16,"ch2",0.635
"metallurgy","A",12,"alpha","none",7.62,"ch2",1.27
"small sample","A",28,"alpha","none",20.955,"ch2",0.635
"waste","P",32,"alpha","none",8.255,"ch2",1.905
"small sample","A",35,"alpha","none",8.255,"ch2",1.905
"small sample","A",65,"alpha","ch2",7.62,"ch2",1.905
"small sample","A",6,"alpha","none",8.255,"ch2",1.905
"small sample","A",29,"alpha","none",13.335,"ch2",1.27
"large sample","E",67,"alpha","none",3.175,"ch2",0.635
"waste","A",34,"alpha","none",6.985,"ch2",3.81
"small sample","A",26,"alpha","none",3.175,"ch2",1.27
"small sample","A",9,"alpha","none",6.985,"ch2",3.175
"small sample","A",2,"alpha","none",3.81,"ch2",1.27
"waste","P",124,"alpha","none",3.81,"ch2",0.635
"small sample","A",27,"alpha","none",4.445,"ch2",0.635
"small sample","A",65,"alpha","none",20.32,"ch2",0.635
"small sample","A",13,"alpha","none",7.62,"ch2",1.905
"small sample","A",65,"alpha","none",12.7,"ch2",3.175
"large sample","E",80,"alpha","none",2.54,"ch2",0.635
"large sample","A",41,"alpha","mgo",10.795,"ch2",1.905
"small sample","A",42,"alpha","none",1.905,"ch2",0.635
"metallurgy","B",22,"alpha","none",9.525,"ch2",0.635
"small sample","A",6,"alpha","none",0.635,"ss304",1.27
"large sample","D",47,"alpha","none",2.54,"ch2",0.635
"large sample","E",269,"alpha","none",2.54,"ch2",0.635
"machining","M",5,"alpha","none",19.05,"ch2",0.635
"metallurgy","A",28,"alpha","none",10.16,"ch2",2.54
"waste","A",63,"alpha","none",9.525,"mgo",1.905
"small sample","A",65,"alpha","ch2",19.05,"ch2",1.905
"small sample","A",9,"alpha","none",8.89,"ch2",1.27
"metallurgy","A",49,"alpha","none",6.985,"ss304",0.635
"solution","A",7,"alpha","none",6.35,"ch2",1.905
"large sample","A",2,"alpha","none",11.43,"mgo",0.635
"metallurgy","A",30,"alpha","ch2",5.08,"al",3.175
"small sample","A",7,"alpha","ch2",1.27,"ch2",0.635
"solution","A",15,"alpha","none",5.715,"ch2",0.635
"machining","M",49,"alpha","ch2",8.89,"ch2",0.635
"large sample","D",13,"alpha","ch2",5.715,"al",1.27
"small sample","A",11,"alpha","none",9.525,"ch2",3.81
"large sample","M",19,"alpha","none",17.145,"mgo",0.635
"large sample","A",30,"alpha","mgo",5.715,"ch2",1.905
"large sample","D",40,"alpha","ch2",6.985,"ss304",0.635
"small sample","A",18,"alpha","none",3.175,"ch2",0.635
"small sample","A",44,"alpha","none",15.24,"ch2",0.635
"metallurgy","E",64,"alpha","none",5.08,"ss304",0.635
"solution","A",39,"alpha","none",7.62,"al",3.175
"metallurgy","A",40,"alpha","none",12.7,"ch2",0.635
"small sample","A",25,"alpha","none",15.875,"ch2",1.27
"machining","M",29,"alpha","none",25.4,"ch2",0.635
"solution","A",13,"alpha","ch2",1.27,"ch2",1.905
"machining","M",13,"alpha","ch2",11.43,"al",0.635
"large sample","A",37,"alpha","none",9.525,"ch2",0.635
"large sample","A",24,"alpha","ch2",3.175,"ss304",1.905
"metallurgy","A",24,"alpha","ch2",19.05,"ss304",0.635
"solution","A",10,"alpha","none",13.97,"al",1.27
"solution","A",11,"alpha","none",5.08,"ch2",0.635
"large sample","A",25,"alpha","ch2",6.985,"mgo",0.635
"large sample","A",44,"alpha","none",14.605,"ss304",1.27
"large sample","E",163,"alpha","none",1.27,"ch2",0.635
"metallurgy","A",40,"alpha","none",15.875,"ss304",4.445
"large sample","A",49,"alpha","none",15.875,"mgo",1.27
"large sample","A",57,"alpha","mgo",8.89,"ss304",2.54
"small sample","A",9,"alpha","none",10.16,"ch2",2.54
"metallurgy","A",11,"alpha","none",5.08,"ch2",1.905
"large sample","M",136,"alpha","ch2",1.905,"mgo",0.635
"small sample","A",45,"alpha","none",5.08,"mgo",3.81
"small sample","A",4,"alpha","none",4.445,"ch2",0.635
"large sample","D",32,"alpha","none",4.445,"ss304",0.635
"solution","A",5,"alpha","none",11.43,"ch2",0.635
"machining","M",65,"alpha","none",4.445,"pb",0.635
"small sample","A",57,"alpha","none",12.065,"ch2",3.81
"solution","A",18,"alpha","none",15.875,"ch2",1.905
"solution","A",24,"alpha","none",3.81,"al",0.635
"metallurgy","E",131,"alpha","none",2.54,"pb",1.27
"small sample","A",20,"alpha","none",3.81,"ch2",2.54
"large sample","A",12,"alpha","none",5.08,"ss304",0.635
"large sample","A",24,"alpha","mgo",4.445,"mgo",1.27
"machining","M",74,"alpha","none",3.81,"ss304",0.635
"solution","A",10,"alpha","ch2",3.175,"ss304",1.27
"large sample","M",172,"alpha","none",10.795,"ch2",0.635
"large sample","D",73,"alpha","none",1.27,"ch2",0.635
"large sample","A",65,"alpha","none",6.35,"ch2",0.635
"small sample","A",11,"alpha","none",2.54,"ss304",1.27
"small sample","A",19,"alpha","none",14.605,"ch2",1.27
"small sample","A",23,"alpha","none",26.035,"ch2",0.635
"large sample","A",34,"alpha","ch2",2.54,"ss304",0.635
"waste","A",43,"alpha","none",5.08,"ch2",1.905
"large sample","D",55,"alpha","none",1.905,"mgo",0.635
"large sample","M",168,"alpha","none",1.27,"ch2",0.635
"small sample","A",26,"alpha","none",7.62,"ss304",0.635
"large sample","A",20,"alpha","none",2.54,"ss304",1.905
"small sample","A",62,"alpha","none",16.51,"ch2",0.635
"small sample","B",61,"alpha","none",5.715,"ch2",0.635
"small sample","A",15,"alpha","none",4.445,"mgo",3.175
"solution","A",27,"alpha","ch2",11.43,"al",2.54
"solution","A",34,"alpha","none",1.27,"ch2",1.27
"small sample","A",56,"alpha","none",20.955,"ch2",0.635
"solution","A",12,"alpha","none",9.525,"ss304",6.985
"small sample","A",22,"alpha","none",7.62,"ch2",0.635
"small sample","A",52,"alpha","none",3.81,"ch2",2.54
"large sample","M",101,"alpha","none",3.175,"ch2",0.635
"solution","A",18,"alpha","none",5.08,"ch2",0.635
"small sample","A",47,"alpha","none",3.81,"ch2",1.905
"large sample","A",33,"alpha","none",5.08,"ch2",1.27
"large sample","M",7,"alpha","none",3.81,"ch2",1.27
"solution","A",5,"alpha","ch2",7.62,"ch2",1.905
"large sample","A",14,"alpha","none",10.795,"mgo",1.905
"small sample","A",5,"alpha","none",17.145,"ch2",3.81
"metallurgy","E",37,"alpha","none",0.635,"mgo",0.635
"small sample","A",2,"alpha","none",5.08,"ch2",0.635
"metallurgy","A",15,"alpha","none",12.7,"ss304",2.54
"small sample","A",15,"alpha","none",6.35,"al",3.175
"waste","A",62,"alpha","none",17.145,"ch2",0.635
"metallurgy","A",27,"alpha","none",19.05,"ss304",2.54
"large sample","A",47,"alpha","none",12.065,"ch2",0.635
"large sample","M",24,"alpha","none",3.81,"ch2",0.635
"large sample","A",50,"alpha","none",14.605,"ch2",0.635
"small sample","A",9,"alpha","mgo",13.97,"ch2",0.635
"small sample","A",42,"alpha","none",6.985,"ch2",1.27
"large sample","A",44,"alpha","none",16.51,"ch2",3.175
"metallurgy","B",62,"alpha","ch2",1.905,"mgo",0.635
"small sample","A",54,"alpha","none",3.175,"ch2",0.635
"large sample","A",24,"alpha","none",9.525,"ss304",1.905
"metallurgy","E",16,"alpha","none",0.635,"ch2",0.635
"large sample","D",20,"alpha","none",0.635,"ss304",0.635
"large sample","A",28,"alpha","none",15.24,"mgo",0.635
"large sample","A",25,"alpha","none",5.08,"ss304",1.27
"small sample","A",39,"alpha","none",10.16,"ch2",1.27
"metallurgy","B",83,"alpha","none",2.54,"ss304",1.27
"large sample","M",190,"alpha","none",10.16,"mgo",0.635
"large sample","A",64,"alpha","none",4.445,"ss304",1.905
"small sample","A",15,"alpha","none",7.62,"al",0.635
"small sample","A",1,"alpha","none",12.065,"ch2",0.635
"large sample","C",89,"alpha","ch2",8.89,"none",0.635
"large sample","A",29,"alpha","none",30.48,"mgo",1.905
"large sample","A",4,"alpha","ch2",20.955,"ch2",1.905
"large sample","D",50,"alpha","mgo",1.905,"ss304",1.27
"large sample","D",55,"alpha","none",3.81,"ss304",0.635
"machining","A",65,"alpha","ch2",12.065,"ch2",1.27
"machining","M",31,"alpha","sepiolite",5.08,"ss304",0.635
"small sample","A",65,"alpha","none",34.29,"ch2",1.27
"small sample","A",35,"alpha","ch2",8.255,"du",1.27
"large sample","A",65,"alpha","ch2",11.43,"mgo",0.635
"large sample","A",15,"alpha","none",17.145,"mgo",0.635
"metallurgy","B",60,"alpha","none",5.715,"ss304",1.905
"large sample","A",51,"alpha","mgo",10.795,"mgo",1.27
"waste","A",34,"alpha","none",3.175,"mgo",1.27
"waste","P",56,"alpha","none",15.875,"mgo",1.905
"small sample","A",10,"alpha","none",6.35,"ch2",0.635
"large sample","A",21,"alpha","none",7.62,"ch2",1.905
"small sample","A",65,"alpha","ch2",2.54,"ss304",0.635
"waste","A",36,"alpha","none",12.7,"ch2",5.08
"machining","M",18,"alpha","none",10.795,"ch2",0.635
"waste","A",12,"alpha","none",12.065,"mgo",0.635
"large sample","D",92,"alpha","none",3.175,"mgo",0.635
"machining","M",67,"alpha","none",17.145,"ch2",0.635
"small sample","A",65,"alpha","none",4.445,"ss304",1.905
"large sample","A",13,"alpha","mgo",6.35,"mgo",2.54
"small sample","A",65,"alpha","none",5.715,"ch2",0.635
"solution","A",23,"alpha","ch2",19.05,"ch2",0.635
"small sample","A",44,"alpha","none",8.89,"ch2",0.635
"large sample","D",27,"alpha","mgo",3.175,"ch2",1.27
"solution","A",2,"alpha","ch2",15.875,"du",1.27
"solution","A",14,"alpha","none",18.415,"ch2",1.27
"small sample","A",25,"alpha","none",3.81,"ch2",0.635
"large sample","E",105,"alpha","none",1.905,"ss304",0.635
"metallurgy","E",133,"alpha","none",2.54,"ss304",0.635
"small sample","A",29,"alpha","none",12.065,"ch2",0.635
"small sample","A",19,"alpha","none",6.35,"ch2",3.175
"metallurgy","B",31,"alpha","none",16.51,"ss304",5.08
"solution","A",5,"alpha","ch2",13.335,"ch2",2.54
"small sample","A",15,"alpha","mgo",7.62,"be",0.635
"small sample","A",11,"alpha","ch2",18.415,"ch2",1.27
"small sample","A",61,"alpha","none",21.59,"ch2",2.54
"large sample","B",456,"alpha","mgo",12.065,"ss304",1.27
"metallurgy","A",65,"alpha","none",2.54,"ch2",0.635
"machining","M",53,"alpha","none",15.875,"ch2",1.27
"large sample","D",53,"alpha","none",0.635,"ss304",0.635
"large sample","E",155,"alpha","none",3.175,"ss304",0.635
"metallurgy","A",14,"alpha","none",13.335,"ss304",0.635
"small sample","A",37,"alpha","none",4.445,"du",0.635
"small sample","B",124,"alpha","none",6.985,"ss304",1.27
"large sample","A",26,"alpha","none",14.605,"ch2",1.905
"machining","A",49,"alpha","ch2",10.16,"ss304",0.635
"small sample","A",9,"alpha","none",2.54,"ss304",0.635
"large sample","D",15,"alpha","none",3.175,"mgo",0.635
"large sample","A",17,"alpha","none",3.175,"ss304",1.27
"small sample","A",40,"alpha","none",5.715,"ch2",0.635
"large sample","M",45,"alpha","ch2",5.715,"ch2",0.635
"large sample","A",8,"alpha","none",1.905,"pb",1.27
"small sample","A",15,"alpha","none",12.065,"ch2",0.635
"large sample","E",59,"alpha","none",3.81,"ss304",0.635
"small sample","A",33,"alpha","ch2",11.43,"ch2",3.175
"small sample","A",65,"alpha","ch2",7.62,"ch2",0.635
"large sample","D",7,"alpha","ch2",0.635,"mgo",0.635
"small sample","A",13,"alpha","ch2",11.43,"ch2",0.635
"small sample","B",61,"alpha","none",5.08,"ss304",1.905
"waste","P",98,"alpha","none",1.27,"ch2",1.27
"large sample","B",14,"alpha","none",10.16,"ch2",1.27
"solution","A",36,"alpha","none",5.08,"ch2",0.635
"small sample","A",9,"alpha","none",2.54,"ch2",2.54
"waste","P",32,"alpha","none",12.7,"ch2",0.635
"large sample","A",17,"alpha","none",5.08,"ch2",0.635
"waste","A",27,"alpha","none",7.62,"be",0.635
"small sample","A",46,"alpha","none",23.495,"ss304",0.635
"small sample","A",58,"alpha","none",2.54,"ch2",2.54
"small sample","A",32,"alpha","none",15.875,"du",1.905
"large sample","D",278,"alpha","none",1.27,"ss304",0.635
"small sample","A",65,"alpha","ch2",6.35,"ch2",0.635
"machining","M",50,"alpha","none",9.525,"ch2",0.635
"machining","M",18,"alpha","ch2",19.685,"ch2",0.635
"large sample","E",141,"alpha","none",2.54,"mgo",0.635
"large sample","A",61,"alpha","none",3.175,"ss304",0.635
"waste","P",61,"alpha","none",8.89,"ch2",1.27
"metallurgy","A",51,"alpha","none",6.35,"mgo",1.905
"small sample","A",40,"alpha","none",6.985,"ch2",3.175
"metallurgy","A",16,"alpha","none",14.605,"pb",1.905
"small sample","A",58,"alpha","ch2",3.81,"ch2",3.175
"waste","P",78,"alpha","none",7.62,"mgo",1.27
"machining","M",76,"alpha","none",12.7,"ch2",0.635
"small sample","A",30,"alpha","none",6.35,"ch2",1.27
"machining","M",43,"alpha","none",1.905,"ch2",1.27
"small sample","A",9,"alpha","ch2",20.955,"ch2",2.54
"solution","A",20,"alpha","none",6.35,"pb",0.635
"solution","A",12,"alpha","none",15.24,"ch2",1.905
"large sample","M",15,"alpha","none",4.445,"ss304",0.635
"machining","M",81,"alpha","ch2",5.08,"ch2",0.635
"solution","A",14,"alpha","none",6.35,"ss304",1.27
"large sample","A",27,"alpha","none",8.89,"ch2",3.175
"small sample","A",1,"alpha","none",9.525,"ch2",2.54
"large sample","A",15,"alpha","ch2",17.78,"ch2",1.27
"waste","A",52,"alpha","none",22.225,"be",0.635
"solution","A",19,"alpha","none",4.445,"ch2",1.27
"large sample","E",241,"alpha","none",3.175,"al",1.27
"waste","P",97,"alpha","none",13.335,"ss304",3.175
"metallurgy","E",19,"alpha","none",1.905,"mgo",0.635
"solution","A",15,"alpha","none",5.08,"be",6.35
"small sample","A",12,"alpha","ch2",3.175,"ch2",2.54
"small sample","A",12,"alpha","none",1.905,"ch2",5.08
"large sample","A",29,"alpha","ch2",15.24,"ss304",5.715
"large sample","A",8,"alpha","none",2.54,"ch2",1.27
"large sample","A",23,"alpha","mgo",5.08,"mgo",0.635
"solution","A",27,"alpha","ch2",4.445,"ch2",3.81
"large sample","A",43,"alpha","ch2",6.35,"ss304",1.905
"large sample","A",31,"alpha","none",3.175,"ss304",1.27
"small sample","A",20,"alpha","none",8.89,"ch2",2.54
